SKU,manufacturer,Peak Torque,Rated Torque,Rated Speed,Max Speed,motor weight,motor cost,shipping?,other costs,other weight,,total weight,total cost,torque density,torque density per dollar,power at nominal speed,continuous power density
BASELINE (falcon500 + 64:1 P8H banebots,REV+Banebots,290,105,64,100,0.59,220,,173.6,0.907,,1.497,393.6,193.7207749,0.492176765,703.7167544,470.0846723
PROPOSED_1 (kraken X60 + 81:1 maxplanetary),WCP+REV,180,,,74,0.544,200,,144,0.532,,1.076,344,167.2862454,0.486297225,0,0
oo,robstride,14,4,,315,0.31,135,,,,,0.31,135,45.16129032,0.334528076,0,0
o1,robstride,17,6,,315,0.38,140,,,,,0.38,140,44.73684211,0.319548872,0,0
o2,robstride,17,6,,410,0.4,160,,,,,0.4,160,42.5,0.265625,0,0
o3,robstride,60,20,,195,0.88,250,,,,,0.88,250,68.18181818,0.272727273,0,0
o4,robstride,120,40,,200,1.42,280,,,,,1.42,280,84.50704225,0.301810865,0,0
RMD-X4-P6-3-C-N,MyActuator,3,1.5,200,252,0.3,215,,,,,0.3,215,10,0.046511628,31.41592654,104.7197551
RMD-X6-P6-7-C-N,MyActuator,7,3.5,400,650,0.35,360,,,,,0.35,360,20,0.055555556,146.6076572,418.8790205
RMD-X6-P36-40-C-N,MyActuator,40,18,90,112,0.59,399,,,,,0.59,399,67.79661017,0.169916316,169.6460033,287.5355988
RMD-X8-P9-25-C-N,MyActuator,25,10,110,250,0.71,540,,,,,0.71,540,35.21126761,0.065206051,115.1917306,162.2418741
RMD-X6-P8-8-C-N,MyActuator,8,4.5,310,360,0.49,475,,,,,0.49,475,16.32653061,0.034371643,146.0840584,298.1307314
RMD-X8-P6-20-C-N,MyActuator,20,10,190,220,0.78,505,,,,,0.78,505,25.64102564,0.050774308,198.9675347,255.086583
RMD-X8-P36-60-C-N,MyActuator,60,30,40,46,0.9,715,,,,,0.9,715,66.66666667,0.093240093,125.6637061,139.6263402
RMD-X10-P7-40-C-N,MyActuator,40,15,165,180,1.15,750,,,,,1.15,750,34.7826087,0.046376812,259.1813939,225.3751251
